supersource,count2
http://purl.obolibrary.org/obo/CHEBI_22180,24
http://purl.obolibrary.org/obo/CHEBI_22309,1
http://purl.obolibrary.org/obo/CHEBI_22333,56
http://purl.obolibrary.org/obo/CHEBI_22581,1
http://purl.obolibrary.org/obo/CHEBI_22583,27
http://purl.obolibrary.org/obo/CHEBI_22586,442
http://purl.obolibrary.org/obo/CHEBI_22587,370
http://purl.obolibrary.org/obo/CHEBI_22676,37
http://purl.obolibrary.org/obo/CHEBI_22695,9
http://purl.obolibrary.org/obo/CHEBI_22917,8
http://purl.obolibrary.org/obo/CHEBI_22986,3
http://purl.obolibrary.org/obo/CHEBI_23018,11
http://purl.obolibrary.org/obo/CHEBI_23092,5
http://purl.obolibrary.org/obo/CHEBI_23100,2
http://purl.obolibrary.org/obo/CHEBI_23240,10
http://purl.obolibrary.org/obo/CHEBI_23354,31
http://purl.obolibrary.org/obo/CHEBI_23357,228
http://purl.obolibrary.org/obo/CHEBI_23366,4
http://purl.obolibrary.org/obo/CHEBI_23529,1
http://purl.obolibrary.org/obo/CHEBI_23530,14
http://purl.obolibrary.org/obo/CHEBI_23582,4
http://purl.obolibrary.org/obo/CHEBI_23888,4637
http://purl.obolibrary.org/obo/CHEBI_23924,2212
http://purl.obolibrary.org/obo/CHEBI_24002,1
http://purl.obolibrary.org/obo/CHEBI_24020,4
http://purl.obolibrary.org/obo/CHEBI_24028,41
http://purl.obolibrary.org/obo/CHEBI_24127,285
http://purl.obolibrary.org/obo/CHEBI_24319,6
http://purl.obolibrary.org/obo/CHEBI_24432,20455
http://purl.obolibrary.org/obo/CHEBI_24527,285
http://purl.obolibrary.org/obo/CHEBI_24621,348
http://purl.obolibrary.org/obo/CHEBI_24850,14
http://purl.obolibrary.org/obo/CHEBI_24851,16
http://purl.obolibrary.org/obo/CHEBI_24852,230
http://purl.obolibrary.org/obo/CHEBI_24853,15
http://purl.obolibrary.org/obo/CHEBI_24869,60
http://purl.obolibrary.org/obo/CHEBI_24874,40
http://purl.obolibrary.org/obo/CHEBI_24937,13
http://purl.obolibrary.org/obo/CHEBI_24941,4
http://purl.obolibrary.org/obo/CHEBI_24942,5
http://purl.obolibrary.org/obo/CHEBI_25078,19
http://purl.obolibrary.org/obo/CHEBI_25212,15044
http://purl.obolibrary.org/obo/CHEBI_25355,57
http://purl.obolibrary.org/obo/CHEBI_25435,163
http://purl.obolibrary.org/obo/CHEBI_25442,50
http://purl.obolibrary.org/obo/CHEBI_25491,62
http://purl.obolibrary.org/obo/CHEBI_25512,21
http://purl.obolibrary.org/obo/CHEBI_25540,8
http://purl.obolibrary.org/obo/CHEBI_25573,1
http://purl.obolibrary.org/obo/CHEBI_25605,10
http://purl.obolibrary.org/obo/CHEBI_25728,10
http://purl.obolibrary.org/obo/CHEBI_25747,10
http://purl.obolibrary.org/obo/CHEBI_25943,1
http://purl.obolibrary.org/obo/CHEBI_25944,953
http://purl.obolibrary.org/obo/CHEBI_26013,43
http://purl.obolibrary.org/obo/CHEBI_26087,6
http://purl.obolibrary.org/obo/CHEBI_26088,1
http://purl.obolibrary.org/obo/CHEBI_26089,2
http://purl.obolibrary.org/obo/CHEBI_26115,20
http://purl.obolibrary.org/obo/CHEBI_26130,34
http://purl.obolibrary.org/obo/CHEBI_26155,116
http://purl.obolibrary.org/obo/CHEBI_26157,2
http://purl.obolibrary.org/obo/CHEBI_26220,4
http://purl.obolibrary.org/obo/CHEBI_26348,15
http://purl.obolibrary.org/obo/CHEBI_26413,43
http://purl.obolibrary.org/obo/CHEBI_26645,93
http://purl.obolibrary.org/obo/CHEBI_26672,38
http://purl.obolibrary.org/obo/CHEBI_26841,30
http://purl.obolibrary.org/obo/CHEBI_27026,155
http://purl.obolibrary.org/obo/CHEBI_27027,70
http://purl.obolibrary.org/obo/CHEBI_27311,99
http://purl.obolibrary.org/obo/CHEBI_27314,19
http://purl.obolibrary.org/obo/CHEBI_27780,14
http://purl.obolibrary.org/obo/CHEBI_33229,29
http://purl.obolibrary.org/obo/CHEBI_33231,45
http://purl.obolibrary.org/obo/CHEBI_33232,7120
http://purl.obolibrary.org/obo/CHEBI_33280,504
http://purl.obolibrary.org/obo/CHEBI_33281,2089
http://purl.obolibrary.org/obo/CHEBI_33282,678
http://purl.obolibrary.org/obo/CHEBI_33284,83
http://purl.obolibrary.org/obo/CHEBI_33286,554
http://purl.obolibrary.org/obo/CHEBI_33287,17
http://purl.obolibrary.org/obo/CHEBI_33288,11
http://purl.obolibrary.org/obo/CHEBI_33289,15
http://purl.obolibrary.org/obo/CHEBI_33292,5
http://purl.obolibrary.org/obo/CHEBI_33295,82
http://purl.obolibrary.org/obo/CHEBI_33893,79
http://purl.obolibrary.org/obo/CHEBI_33904,9
http://purl.obolibrary.org/obo/CHEBI_33937,9
http://purl.obolibrary.org/obo/CHEBI_35195,66
http://purl.obolibrary.org/obo/CHEBI_35204,6
http://purl.obolibrary.org/obo/CHEBI_35206,1
http://purl.obolibrary.org/obo/CHEBI_35207,2
http://purl.obolibrary.org/obo/CHEBI_35208,1
http://purl.obolibrary.org/obo/CHEBI_35209,1
http://purl.obolibrary.org/obo/CHEBI_35211,1
http://purl.obolibrary.org/obo/CHEBI_35219,22
http://purl.obolibrary.org/obo/CHEBI_35221,77
http://purl.obolibrary.org/obo/CHEBI_35222,2396
http://purl.obolibrary.org/obo/CHEBI_35223,16
http://purl.obolibrary.org/obo/CHEBI_35224,26
http://purl.obolibrary.org/obo/CHEBI_35225,33
http://purl.obolibrary.org/obo/CHEBI_35230,1
http://purl.obolibrary.org/obo/CHEBI_35232,5
http://purl.obolibrary.org/obo/CHEBI_35337,25
http://purl.obolibrary.org/obo/CHEBI_35441,843
http://purl.obolibrary.org/obo/CHEBI_35442,361
http://purl.obolibrary.org/obo/CHEBI_35443,59
http://purl.obolibrary.org/obo/CHEBI_35444,24
http://purl.obolibrary.org/obo/CHEBI_35457,39
http://purl.obolibrary.org/obo/CHEBI_35469,103
http://purl.obolibrary.org/obo/CHEBI_35470,395
http://purl.obolibrary.org/obo/CHEBI_35471,246
http://purl.obolibrary.org/obo/CHEBI_35472,217
http://purl.obolibrary.org/obo/CHEBI_35473,136
http://purl.obolibrary.org/obo/CHEBI_35474,55
http://purl.obolibrary.org/obo/CHEBI_35475,159
http://purl.obolibrary.org/obo/CHEBI_35476,77
http://purl.obolibrary.org/obo/CHEBI_35477,7
http://purl.obolibrary.org/obo/CHEBI_35480,212
http://purl.obolibrary.org/obo/CHEBI_35481,115
http://purl.obolibrary.org/obo/CHEBI_35482,56
http://purl.obolibrary.org/obo/CHEBI_35487,7
http://purl.obolibrary.org/obo/CHEBI_35488,264
http://purl.obolibrary.org/obo/CHEBI_35493,58
