s,l,lcl
http://purl.obolibrary.org/obo/DRON_00018424,"ALLERGENIC EXTRACT,LYCOPERDON PYRIFORME","allergenic extract,lycoperdon pyriforme"
http://purl.obolibrary.org/obo/DRON_00018460,"ALLERGENIC EXTRACT,PENICILLIUM FREQUENTANS","allergenic extract,penicillium frequentans"
http://purl.obolibrary.org/obo/DRON_00018507,"ALLERGENIC EXTRACT,YELLOW JACKET","allergenic extract,yellow jacket"
http://purl.obolibrary.org/obo/DRON_00012852,alloin,alloin
http://purl.obolibrary.org/obo/DRON_00019618,Allscale pollen extract,allscale pollen extract
http://purl.obolibrary.org/obo/DRON_00019601,allspice allergenic extract,allspice allergenic extract
http://purl.obolibrary.org/obo/DRON_00010822,allyl sulfide,allyl sulfide
http://purl.obolibrary.org/obo/DRON_00019553,almond allergenic extract,almond allergenic extract
http://purl.obolibrary.org/obo/DRON_00862665,Alnus serrulata pollen extract,alnus serrulata pollen extract
http://purl.obolibrary.org/obo/DRON_00015749,Aloe Extract,aloe extract
http://purl.obolibrary.org/obo/DRON_00020148,Aloe Polysaccharide,aloe polysaccharide
http://purl.obolibrary.org/obo/DRON_00723258,aloe vera leaf extract,aloe vera leaf extract
http://purl.obolibrary.org/obo/DRON_00018711,Aloe vera preparation,aloe vera preparation
http://purl.obolibrary.org/obo/DRON_00010169,aloglutamol,aloglutamol
http://purl.obolibrary.org/obo/DRON_00014393,aloxiprin,aloxiprin
http://purl.obolibrary.org/obo/DRON_00860676,alpelisib,alpelisib
http://purl.obolibrary.org/obo/DRON_00730804,alpha 1-Antitrypsin,alpha 1-antitrypsin
http://purl.obolibrary.org/obo/DRON_00019857,"alpha 1-proteinase inhibitor, human","alpha 1-proteinase inhibitor, human"
http://purl.obolibrary.org/obo/DRON_00013188,Alpha Hydroxy Acids,alpha hydroxy acids
http://purl.obolibrary.org/obo/DRON_00017076,ALPHA-AMYLASE,alpha-amylase
http://purl.obolibrary.org/obo/DRON_00018202,ALPHA-D-GALACTOSIDASE ENZYME,alpha-d-galactosidase enzyme
http://purl.obolibrary.org/obo/DRON_00018566,"alpha-glucoheptonic acid, magnesium salt (2:1)","alpha-glucoheptonic acid, magnesium salt (2:1)"
http://purl.obolibrary.org/obo/DRON_00016334,alpha-ketoglutaric acid,alpha-ketoglutaric acid
http://purl.obolibrary.org/obo/DRON_00010172,Alseroxylon,alseroxylon
http://purl.obolibrary.org/obo/DRON_00010173,Alteplase,alteplase
http://purl.obolibrary.org/obo/DRON_00019888,Alternaria alternata allergenic extract,alternaria alternata allergenic extract
http://purl.obolibrary.org/obo/DRON_00015890,althiazide,althiazide
http://purl.obolibrary.org/obo/DRON_00020312,altrenogest,altrenogest
http://purl.obolibrary.org/obo/DRON_00010174,Altretamine,altretamine
http://purl.obolibrary.org/obo/DRON_00015171,"alum, potassium","alum, potassium"
http://purl.obolibrary.org/obo/DRON_00018280,aluminum acetate,aluminum acetate
http://purl.obolibrary.org/obo/DRON_00015463,aluminum acetotartrate,aluminum acetotartrate
http://purl.obolibrary.org/obo/DRON_00010178,Aluminum aspirin,aluminum aspirin
http://purl.obolibrary.org/obo/DRON_00010179,Aluminum carbonate,aluminum carbonate
http://purl.obolibrary.org/obo/DRON_00014418,aluminum chlorhydrate,aluminum chlorhydrate
http://purl.obolibrary.org/obo/DRON_00018289,aluminum magnesium silicate,aluminum magnesium silicate
http://purl.obolibrary.org/obo/DRON_00015786,Aluminum Oxide,aluminum oxide
http://purl.obolibrary.org/obo/DRON_00014423,aluminum phosphate,aluminum phosphate
http://purl.obolibrary.org/obo/DRON_00016395,aluminum potassium sulfate,aluminum potassium sulfate
http://purl.obolibrary.org/obo/DRON_00018780,aluminum sesquichlorohydrate,aluminum sesquichlorohydrate
http://purl.obolibrary.org/obo/DRON_00015502,Aluminum stearate,aluminum stearate
http://purl.obolibrary.org/obo/DRON_00016399,ALUMINUM SUBACETATE,aluminum subacetate
http://purl.obolibrary.org/obo/DRON_00018157,aluminum sulfate,aluminum sulfate
http://purl.obolibrary.org/obo/DRON_00837841,Amaranthus hybridus pollen extract,amaranthus hybridus pollen extract
http://purl.obolibrary.org/obo/DRON_00017075,ambroxol-theophylline-7-acetate,ambroxol-theophylline-7-acetate
http://purl.obolibrary.org/obo/DRON_00010189,Amdinocillin,amdinocillin
http://purl.obolibrary.org/obo/DRON_00014063,Amdinocillin Pivoxil,amdinocillin pivoxil
http://purl.obolibrary.org/obo/DRON_00019887,American basswood pollen extract,american basswood pollen extract
http://purl.obolibrary.org/obo/DRON_00019536,American chestnut allergenic extract,american chestnut allergenic extract
http://purl.obolibrary.org/obo/DRON_00019858,American cockroach allergenic extract,american cockroach allergenic extract
http://purl.obolibrary.org/obo/DRON_00020252,American elm pollen extract,american elm pollen extract
http://purl.obolibrary.org/obo/DRON_00010082,AMERICAN GINSENG ROOT,american ginseng root
http://purl.obolibrary.org/obo/DRON_00020118,American house dust mite extract,american house dust mite extract
http://purl.obolibrary.org/obo/DRON_00834966,American lobster allergenic extract,american lobster allergenic extract
http://purl.obolibrary.org/obo/DRON_00010743,amidoline,amidoline
http://purl.obolibrary.org/obo/DRON_00831740,amikacin liposomal,amikacin liposomal
http://purl.obolibrary.org/obo/DRON_00014317,Amilomer,amilomer
http://purl.obolibrary.org/obo/DRON_00015165,Aminacrine,aminacrine
http://purl.obolibrary.org/obo/DRON_00010195,amineptin,amineptin
http://purl.obolibrary.org/obo/DRON_00018855,Aminobutyrate,aminobutyrate
http://purl.obolibrary.org/obo/DRON_00016643,Aminocaproate,aminocaproate
http://purl.obolibrary.org/obo/DRON_00010200,aminohydroxybutyric acid,aminohydroxybutyric acid
http://purl.obolibrary.org/obo/DRON_00016839,Aminolevulinate,aminolevulinate
http://purl.obolibrary.org/obo/DRON_00010084,Aminolevulinic Acid,aminolevulinic acid
http://purl.obolibrary.org/obo/DRON_00019933,Aminopentamide,aminopentamide
http://purl.obolibrary.org/obo/DRON_00014408,Aminopyrine,aminopyrine
http://purl.obolibrary.org/obo/DRON_00015916,aminoquinuride,aminoquinuride
http://purl.obolibrary.org/obo/DRON_00012478,aminosalicylate,aminosalicylate
http://purl.obolibrary.org/obo/DRON_00013470,aminosalicylic acid,aminosalicylic acid
http://purl.obolibrary.org/obo/DRON_00016590,ammonium ferrous sulfate,ammonium ferrous sulfate
http://purl.obolibrary.org/obo/DRON_00014030,ammonium phosphate,ammonium phosphate
http://purl.obolibrary.org/obo/DRON_00014410,Ammonium salicylate,ammonium salicylate
