s,l,lcl
http://purl.obolibrary.org/obo/DRON_00018119,chlorcyclizine,chlorcyclizine
http://purl.obolibrary.org/obo/DRON_00014635,chlorfenethazine,chlorfenethazine
http://purl.obolibrary.org/obo/DRON_00018464,CHLORIDE HEXAHYDRATE,chloride hexahydrate
http://purl.obolibrary.org/obo/DRON_00016671,Chlormadinone,chlormadinone
http://purl.obolibrary.org/obo/DRON_00017074,Chlormethiazole,chlormethiazole
http://purl.obolibrary.org/obo/DRON_00016108,chlorocresol,chlorocresol
http://purl.obolibrary.org/obo/DRON_00016802,chlorophyllin,chlorophyllin
http://purl.obolibrary.org/obo/DRON_00017497,chlorophyllin copper complex,chlorophyllin copper complex
http://purl.obolibrary.org/obo/DRON_00010457,chloropyramine,chloropyramine
http://purl.obolibrary.org/obo/DRON_00016178,chlorothen,chlorothen
http://purl.obolibrary.org/obo/DRON_00014641,CHLOROTHEOPHYLLINE,chlorotheophylline
http://purl.obolibrary.org/obo/DRON_00018291,chloroxylenol,chloroxylenol
http://purl.obolibrary.org/obo/DRON_00018706,CHLORPHENINDIONE,chlorphenindione
http://purl.obolibrary.org/obo/DRON_00014654,chlorthenoxazin,chlorthenoxazin
http://purl.obolibrary.org/obo/DRON_00019946,chocolate allergenic extract,chocolate allergenic extract
http://purl.obolibrary.org/obo/DRON_00837860,chocolate cacao bean allergenic extract,chocolate cacao bean allergenic extract
http://purl.obolibrary.org/obo/DRON_00013575,Cholera Vaccine,cholera vaccine
http://purl.obolibrary.org/obo/DRON_00014756,Cholestyramine Resin,cholestyramine resin
http://purl.obolibrary.org/obo/DRON_00016332,Choline Magnesium Trisalicyclate,choline magnesium trisalicyclate
http://purl.obolibrary.org/obo/DRON_00012965,Chromic sulfate,chromic sulfate
http://purl.obolibrary.org/obo/DRON_00012093,CHROMIUM ASPARTATE,chromium aspartate
http://purl.obolibrary.org/obo/DRON_00018737,CHROMIUM CITRATE,chromium citrate
http://purl.obolibrary.org/obo/DRON_00013555,chromium nicotinic acid complex,chromium nicotinic acid complex
http://purl.obolibrary.org/obo/DRON_00020032,Chromium Polynicotinate,chromium polynicotinate
http://purl.obolibrary.org/obo/DRON_00018269,"CHROMIUM, CHELATED","chromium, chelated"
http://purl.obolibrary.org/obo/DRON_00010477,chromocarb diethylamine,chromocarb diethylamine
http://purl.obolibrary.org/obo/DRON_00014673,Chromonar,chromonar
http://purl.obolibrary.org/obo/DRON_00017092,Chymopapain,chymopapain
http://purl.obolibrary.org/obo/DRON_00017179,Chymosin,chymosin
http://purl.obolibrary.org/obo/DRON_00016887,CHYMOTRYPSIN,chymotrypsin
http://purl.obolibrary.org/obo/DRON_00010480,cicloxilic acid,cicloxilic acid
http://purl.obolibrary.org/obo/DRON_00018907,CIDER VINEGAR,cider vinegar
http://purl.obolibrary.org/obo/DRON_00012991,Cidofovir,cidofovir
http://purl.obolibrary.org/obo/DRON_00014674,cifenline,cifenline
http://purl.obolibrary.org/obo/DRON_00016771,cinnamedrine,cinnamedrine
http://purl.obolibrary.org/obo/DRON_00019668,cinnamon allergenic extract,cinnamon allergenic extract
http://purl.obolibrary.org/obo/DRON_00020294,Cinnamon Bark,cinnamon bark
http://purl.obolibrary.org/obo/DRON_00019435,Cinnamon Preparation,cinnamon preparation
http://purl.obolibrary.org/obo/DRON_00018710,cinoxate,cinoxate
http://purl.obolibrary.org/obo/DRON_00019894,Citicoline,citicoline
http://purl.obolibrary.org/obo/DRON_00011553,citiolone,citiolone
http://purl.obolibrary.org/obo/DRON_00013129,Citrate,citrate
http://purl.obolibrary.org/obo/DRON_00018432,citrus bioflavonoids,citrus bioflavonoids
http://purl.obolibrary.org/obo/DRON_00018881,Citrus Pectin extract,citrus pectin extract
http://purl.obolibrary.org/obo/DRON_00019881,Cladosoprium cladosporioides allergenic extract,cladosoprium cladosporioides allergenic extract
http://purl.obolibrary.org/obo/DRON_00019889,Cladosporium cladosporioides allergenic extract,cladosporium cladosporioides allergenic extract
http://purl.obolibrary.org/obo/DRON_00019473,Cladosporium cladosporioides extract,cladosporium cladosporioides extract
http://purl.obolibrary.org/obo/DRON_00019336,Cladosporium herbarum extract,cladosporium herbarum extract
http://purl.obolibrary.org/obo/DRON_00019474,cladosporium sphaerospermum allergenic extract,cladosporium sphaerospermum allergenic extract
http://purl.obolibrary.org/obo/DRON_00019556,clam allergenic extract,clam allergenic extract
http://purl.obolibrary.org/obo/DRON_00015796,clebopride,clebopride
http://purl.obolibrary.org/obo/DRON_00013513,clemizolpenicillin,clemizolpenicillin
http://purl.obolibrary.org/obo/DRON_00015584,Clioquinol,clioquinol
http://purl.obolibrary.org/obo/DRON_00014685,Clobetasone,clobetasone
http://purl.obolibrary.org/obo/DRON_00017790,clobutinol,clobutinol
http://purl.obolibrary.org/obo/DRON_00014692,clofexamide,clofexamide
http://purl.obolibrary.org/obo/DRON_00014693,clofezone,clofezone
http://purl.obolibrary.org/obo/DRON_00014694,clofoctol,clofoctol
http://purl.obolibrary.org/obo/DRON_00015695,Clopamide,clopamide
http://purl.obolibrary.org/obo/DRON_00016115,Cloprostenol,cloprostenol
http://purl.obolibrary.org/obo/DRON_00014718,clorophene,clorophene
http://purl.obolibrary.org/obo/DRON_00017851,clorsulon,clorsulon
http://purl.obolibrary.org/obo/DRON_00010518,clothiapine,clothiapine
http://purl.obolibrary.org/obo/DRON_00019669,clove allergenic extract,clove allergenic extract
http://purl.obolibrary.org/obo/DRON_00013995,Clove oil,clove oil
http://purl.obolibrary.org/obo/DRON_00018852,Coagulation Factor IX (Human),coagulation factor ix (human)
http://purl.obolibrary.org/obo/DRON_00750808,coagulation factor IX recombinant immunoglobulin G1 fusion protein,coagulation factor ix recombinant immunoglobulin g1 fusion protein
http://purl.obolibrary.org/obo/DRON_00017871,Coal Tar,coal tar
http://purl.obolibrary.org/obo/DRON_00020051,coast live oak pollen extract,coast live oak pollen extract
http://purl.obolibrary.org/obo/DRON_00019233,coast maple pollen extract,coast maple pollen extract
http://purl.obolibrary.org/obo/DRON_00019263,coast sage pollen extract,coast sage pollen extract
http://purl.obolibrary.org/obo/DRON_00015302,COBALT GLUCONATE,cobalt gluconate
http://purl.obolibrary.org/obo/DRON_00750821,Coccidiodides immitis spherule preparation,coccidiodides immitis spherule preparation
http://purl.obolibrary.org/obo/DRON_00019337,Cochliobolus sativus extract,cochliobolus sativus extract
http://purl.obolibrary.org/obo/DRON_00019876,cochliobolus spicifer allergenic extract,cochliobolus spicifer allergenic extract
http://purl.obolibrary.org/obo/DRON_00019503,cocklebur extract,cocklebur extract
http://purl.obolibrary.org/obo/DRON_00019266,cocklebur pollen extract,cocklebur pollen extract
http://purl.obolibrary.org/obo/DRON_00019533,cocoa bean allergenic extract,cocoa bean allergenic extract
http://purl.obolibrary.org/obo/DRON_00018088,cocoa butter,cocoa butter
http://purl.obolibrary.org/obo/DRON_00019522,coconut allergenic extract,coconut allergenic extract
http://purl.obolibrary.org/obo/DRON_00723398,Coconut Oil,coconut oil
http://purl.obolibrary.org/obo/DRON_00014661,Cod Liver Oil,cod liver oil
http://purl.obolibrary.org/obo/DRON_00019557,codfish allergenic extract,codfish allergenic extract
http://purl.obolibrary.org/obo/DRON_00019534,coffee bean allergenic extract,coffee bean allergenic extract
http://purl.obolibrary.org/obo/DRON_00019943,coffee fruit preparation,coffee fruit preparation
http://purl.obolibrary.org/obo/DRON_00018363,COLA EXTRACT,cola extract
http://purl.obolibrary.org/obo/DRON_00014107,Colfosceril,colfosceril
http://purl.obolibrary.org/obo/DRON_00012394,COLLAGEN HEMOSTAT,collagen hemostat
http://purl.obolibrary.org/obo/DRON_00018792,"COLLAGEN, HYDROLYZED","collagen, hydrolyzed"
http://purl.obolibrary.org/obo/DRON_00018988,"COLLAGEN,ACTIVATED","collagen,activated"
http://purl.obolibrary.org/obo/DRON_00013812,COLLAGENASE,collagenase
http://purl.obolibrary.org/obo/DRON_00019629,collagenase Clostridium histolyticum,collagenase clostridium histolyticum
http://purl.obolibrary.org/obo/DRON_00020151,Colletotrichum coccodes allergenic extract,colletotrichum coccodes allergenic extract
http://purl.obolibrary.org/obo/DRON_00013789,Colloid sulfur,colloid sulfur
http://purl.obolibrary.org/obo/DRON_00018108,Colloidal oatmeal,colloidal oatmeal
http://purl.obolibrary.org/obo/DRON_00018913,Comfrey preparation,comfrey preparation
http://purl.obolibrary.org/obo/DRON_00019736,common carp allergenic extract,common carp allergenic extract
http://purl.obolibrary.org/obo/DRON_00019758,common cocklebur pollen extract,common cocklebur pollen extract
http://purl.obolibrary.org/obo/DRON_00020239,common paper wasp venom protein,common paper wasp venom protein
http://purl.obolibrary.org/obo/DRON_00019265,common sagebrush pollen extract,common sagebrush pollen extract
http://purl.obolibrary.org/obo/DRON_00020242,common wasp venom protein,common wasp venom protein
http://purl.obolibrary.org/obo/DRON_00019614,common wormwood pollen extract,common wormwood pollen extract
http://purl.obolibrary.org/obo/DRON_00014111,compound benzoin tincture (USP),compound benzoin tincture (usp)
http://purl.obolibrary.org/obo/DRON_00019713,Concord grape allergenic extract,concord grape allergenic extract
http://purl.obolibrary.org/obo/DRON_00019591,Cootamundra wattle pollen extract,cootamundra wattle pollen extract
http://purl.obolibrary.org/obo/DRON_00799156,copanlisib,copanlisib
http://purl.obolibrary.org/obo/DRON_00867631,Copper,copper
http://purl.obolibrary.org/obo/DRON_00750777,copper naphthenate,copper naphthenate
http://purl.obolibrary.org/obo/DRON_00018528,Cordyceps sinensis preparation,cordyceps sinensis preparation
http://purl.obolibrary.org/obo/DRON_00018995,Coriander Extract,coriander extract
http://purl.obolibrary.org/obo/DRON_00019558,corn allergenic extract,corn allergenic extract
http://purl.obolibrary.org/obo/DRON_00010528,Corn Oil,corn oil
http://purl.obolibrary.org/obo/DRON_00019264,corn pollen extract,corn pollen extract
http://purl.obolibrary.org/obo/DRON_00018597,Corn silk preparation,corn silk preparation
http://purl.obolibrary.org/obo/DRON_00018425,corn smut allergenic extract,corn smut allergenic extract
http://purl.obolibrary.org/obo/DRON_00018807,Cornsilk,cornsilk
http://purl.obolibrary.org/obo/DRON_00020263,cornstarch,cornstarch
http://purl.obolibrary.org/obo/DRON_00012842,corticorelin ovine,corticorelin ovine
http://purl.obolibrary.org/obo/DRON_00019777,cotton allergenic extract,cotton allergenic extract
http://purl.obolibrary.org/obo/DRON_00019811,cotton fiber allergenic extract,cotton fiber allergenic extract
http://purl.obolibrary.org/obo/DRON_00019814,cotton seed allergenic extract,cotton seed allergenic extract
http://purl.obolibrary.org/obo/DRON_00019574,cow milk allergenic extract,cow milk allergenic extract
http://purl.obolibrary.org/obo/DRON_00019566,crab allergenic extract,crab allergenic extract
http://purl.obolibrary.org/obo/DRON_00019670,cranberry allergenic extract,cranberry allergenic extract
http://purl.obolibrary.org/obo/DRON_00018239,Cranberry preparation,cranberry preparation
http://purl.obolibrary.org/obo/DRON_00013556,crataegus extract,crataegus extract
http://purl.obolibrary.org/obo/DRON_00020044,creeping bentgrass pollen extract,creeping bentgrass pollen extract
http://purl.obolibrary.org/obo/DRON_00016234,Creosote,creosote
http://purl.obolibrary.org/obo/DRON_00019786,cricket allergenic extract,cricket allergenic extract
http://purl.obolibrary.org/obo/DRON_00867633,crizanlizumab,crizanlizumab
http://purl.obolibrary.org/obo/DRON_00750769,crofelemer,crofelemer
http://purl.obolibrary.org/obo/DRON_00013879,Cromoglycate,cromoglycate
http://purl.obolibrary.org/obo/DRON_00837846,Crotalidae Immune F(ab')2,crotalidae immune f(ab')2
http://purl.obolibrary.org/obo/DRON_00019515,Crotalus adamanteus antivenin,crotalus adamanteus antivenin
http://purl.obolibrary.org/obo/DRON_00019516,Crotalus atrox antivenin,crotalus atrox antivenin
http://purl.obolibrary.org/obo/DRON_00019517,Crotalus scutulatus antivenin,crotalus scutulatus antivenin
http://purl.obolibrary.org/obo/DRON_00013035,Cryptenamine,cryptenamine
http://purl.obolibrary.org/obo/DRON_00019671,cucumber allergenic extract,cucumber allergenic extract
http://purl.obolibrary.org/obo/DRON_00020055,cultivated barley pollen extract,cultivated barley pollen extract
http://purl.obolibrary.org/obo/DRON_00019734,cultivated mushroom allergenic extract,cultivated mushroom allergenic extract
http://purl.obolibrary.org/obo/DRON_00019280,cultivated oat pollen extract,cultivated oat pollen extract
http://purl.obolibrary.org/obo/DRON_00020005,cultivated rye grass pollen extract,cultivated rye grass pollen extract
http://purl.obolibrary.org/obo/DRON_00019733,cumin allergenic extract,cumin allergenic extract
http://purl.obolibrary.org/obo/DRON_00018214,Cupric oxide,cupric oxide
http://purl.obolibrary.org/obo/DRON_00019312,Curvularia extract,curvularia extract
http://purl.obolibrary.org/obo/DRON_00019896,Curvularia inequalis allergenic extract,curvularia inequalis allergenic extract
http://purl.obolibrary.org/obo/DRON_00014267,cycletanide,cycletanide
http://purl.obolibrary.org/obo/DRON_00015677,cycloadiphenine,cycloadiphenine
http://purl.obolibrary.org/obo/DRON_00013728,cyclonium,cyclonium
http://purl.obolibrary.org/obo/DRON_00011249,Cyclopenthiazide,cyclopenthiazide
http://purl.obolibrary.org/obo/DRON_00016531,Cynara Preparation,cynara preparation
http://purl.obolibrary.org/obo/DRON_00019850,Cytarabine liposome,cytarabine liposome
http://purl.obolibrary.org/obo/DRON_00012884,cytomegalovirus immune globulin,cytomegalovirus immune globulin
http://purl.obolibrary.org/obo/DRON_00018536,D-Transallethrin,d-transallethrin
http://purl.obolibrary.org/obo/DRON_00013001,Daclizumab,daclizumab
http://purl.obolibrary.org/obo/DRON_00019616,dalfampridine,dalfampridine
http://purl.obolibrary.org/obo/DRON_00016911,Dalteparin,dalteparin
http://purl.obolibrary.org/obo/DRON_00012290,Damiana extract,damiana extract
http://purl.obolibrary.org/obo/DRON_00018364,Damiana leaf preparation,damiana leaf preparation
http://purl.obolibrary.org/obo/DRON_00831732,damoctocog alfa pegol,damoctocog alfa pegol
http://purl.obolibrary.org/obo/DRON_00010552,danaparoid,danaparoid
http://purl.obolibrary.org/obo/DRON_00012291,Dandelion Extract,dandelion extract
http://purl.obolibrary.org/obo/DRON_00019274,dandelion pollen extract,dandelion pollen extract
http://purl.obolibrary.org/obo/DRON_00012102,Dandelion root extract,dandelion root extract
http://purl.obolibrary.org/obo/DRON_00730808,danofloxacin,danofloxacin
http://purl.obolibrary.org/obo/DRON_00016751,danthron,danthron
http://purl.obolibrary.org/obo/DRON_00730859,daratumumab,daratumumab
http://purl.obolibrary.org/obo/DRON_00018976,darbepoetin alfa,darbepoetin alfa
http://purl.obolibrary.org/obo/DRON_00019615,dark leaved mugwort pollen extract,dark leaved mugwort pollen extract
http://purl.obolibrary.org/obo/DRON_00865530,darolutamide,darolutamide
http://purl.obolibrary.org/obo/DRON_00018901,dasatinib,dasatinib
http://purl.obolibrary.org/obo/DRON_00019672,date allergenic extract,date allergenic extract
http://purl.obolibrary.org/obo/DRON_00019380,date palm pollen extract,date palm pollen extract
http://purl.obolibrary.org/obo/DRON_00016742,Daunorubicin Liposomal,daunorubicin liposomal
http://purl.obolibrary.org/obo/DRON_00015048,Deanol,deanol
http://purl.obolibrary.org/obo/DRON_00014735,decamethrin,decamethrin
http://purl.obolibrary.org/obo/DRON_00016646,decitabine,decitabine
http://purl.obolibrary.org/obo/DRON_00016745,Deet,deet
http://purl.obolibrary.org/obo/DRON_00750760,Defibrotide preparation,defibrotide preparation
http://purl.obolibrary.org/obo/DRON_00016543,Dehydrocholate,dehydrocholate
http://purl.obolibrary.org/obo/DRON_00015983,dehydrosanol,dehydrosanol
http://purl.obolibrary.org/obo/DRON_00793496,delafloxacin,delafloxacin
http://purl.obolibrary.org/obo/DRON_00013140,Demecarium,demecarium
http://purl.obolibrary.org/obo/DRON_00016026,demelverin,demelverin
http://purl.obolibrary.org/obo/DRON_00016861,denatured ethanol,denatured ethanol
http://purl.obolibrary.org/obo/DRON_00019877,dendryphiella vinosa allergenic extract,dendryphiella vinosa allergenic extract
http://purl.obolibrary.org/obo/DRON_00862668,"Dengue virus live antigen, CYD serotype 1","dengue virus live antigen, cyd serotype 1"
http://purl.obolibrary.org/obo/DRON_00862670,"Dengue virus live antigen, CYD serotype 2","dengue virus live antigen, cyd serotype 2"
http://purl.obolibrary.org/obo/DRON_00862669,"Dengue virus live antigen, CYD serotype 3","dengue virus live antigen, cyd serotype 3"
http://purl.obolibrary.org/obo/DRON_00862671,"Dengue virus live antigen, CYD serotype 4","dengue virus live antigen, cyd serotype 4"
http://purl.obolibrary.org/obo/DRON_00013006,denileukin diftitox,denileukin diftitox
http://purl.obolibrary.org/obo/DRON_00019864,denosumab,denosumab
http://purl.obolibrary.org/obo/DRON_00014027,Deoxycorticosterone,deoxycorticosterone
http://purl.obolibrary.org/obo/DRON_00018066,Deoxyribonucleases,deoxyribonucleases
http://purl.obolibrary.org/obo/DRON_00019257,desert ragweed pollen extract,desert ragweed pollen extract
http://purl.obolibrary.org/obo/DRON_00020308,deslorelin,deslorelin
http://purl.obolibrary.org/obo/DRON_00019106,Desvenlafaxine,desvenlafaxine
http://purl.obolibrary.org/obo/DRON_00017803,detomidine,detomidine
http://purl.obolibrary.org/obo/DRON_00789750,deutetrabenazine,deutetrabenazine
http://purl.obolibrary.org/obo/DRON_00017799,Devil's claw preparation,devil's claw preparation
http://purl.obolibrary.org/obo/DRON_00010583,Dexfenfluramine,dexfenfluramine
http://purl.obolibrary.org/obo/DRON_00013000,Dextran 1,dextran 1
http://purl.obolibrary.org/obo/DRON_00018784,Dextran 110,dextran 110
http://purl.obolibrary.org/obo/DRON_00012985,Dextran 75,dextran 75
http://purl.obolibrary.org/obo/DRON_00010584,DEXTRAN HM,dextran hm
http://purl.obolibrary.org/obo/DRON_00018219,dextranomer,dextranomer
http://purl.obolibrary.org/obo/DRON_00010595,Dextrothyroxine,dextrothyroxine
http://purl.obolibrary.org/obo/DRON_00014790,DI-ISOPROPYLAMMONIUM,di-isopropylammonium
http://purl.obolibrary.org/obo/DRON_00010597,diacetylrhein,diacetylrhein
http://purl.obolibrary.org/obo/DRON_00017706,Dibasic potassium phosphate,dibasic potassium phosphate
http://purl.obolibrary.org/obo/DRON_00014848,dibenzepin,dibenzepin
http://purl.obolibrary.org/obo/DRON_00012940,dicalcium phosphate,dicalcium phosphate
http://purl.obolibrary.org/obo/DRON_00017031,dichloralphenazone,dichloralphenazone
http://purl.obolibrary.org/obo/DRON_00015290,dichlorobenzyl alcohol,dichlorobenzyl alcohol
http://purl.obolibrary.org/obo/DRON_00016393,dichlorodifluoromethane,dichlorodifluoromethane
http://purl.obolibrary.org/obo/DRON_00013094,Dichlorotetrafluoroethane,dichlorotetrafluoroethane
http://purl.obolibrary.org/obo/DRON_00010601,Dichlorphenamide,dichlorphenamide
http://purl.obolibrary.org/obo/DRON_00018661,Dicobalt edetate,dicobalt edetate
http://purl.obolibrary.org/obo/DRON_00018308,DICRESULENE POLYMER,dicresulene polymer
http://purl.obolibrary.org/obo/DRON_00015853,Dicumarol,dicumarol
http://purl.obolibrary.org/obo/DRON_00016690,diethylamine salicylate,diethylamine salicylate
http://purl.obolibrary.org/obo/DRON_00014761,DIGITALIS LEAF,digitalis leaf
http://purl.obolibrary.org/obo/DRON_00014028,Digitalis preparation,digitalis preparation
http://purl.obolibrary.org/obo/DRON_00012840,digoxin antibodies Fab fragments,digoxin antibodies fab fragments
http://purl.obolibrary.org/obo/DRON_00010063,Dihematoporphyrin Ether,dihematoporphyrin ether
http://purl.obolibrary.org/obo/DRON_00018107,Dihydroergocryptine,dihydroergocryptine
http://purl.obolibrary.org/obo/DRON_00010616,Dihydroergotoxine,dihydroergotoxine
http://purl.obolibrary.org/obo/DRON_00014291,dihydroxyaluminum aminoacetate,dihydroxyaluminum aminoacetate
http://purl.obolibrary.org/obo/DRON_00014792,dihydroxyaluminum sodium carbonate,dihydroxyaluminum sodium carbonate
http://purl.obolibrary.org/obo/DRON_00015798,dihydroxybutyl ether,dihydroxybutyl ether
http://purl.obolibrary.org/obo/DRON_00019803,dill allergenic extract,dill allergenic extract
http://purl.obolibrary.org/obo/DRON_00013973,Diloxanide,diloxanide
http://purl.obolibrary.org/obo/DRON_00017103,Dimethindene,dimethindene
http://purl.obolibrary.org/obo/DRON_00010625,Dinoprost,dinoprost
http://purl.obolibrary.org/obo/DRON_00016410,Dinoprostone,dinoprostone
http://purl.obolibrary.org/obo/DRON_00750839,dinutuximab,dinutuximab
http://purl.obolibrary.org/obo/DRON_00016280,diperodon,diperodon
http://purl.obolibrary.org/obo/DRON_00016718,Diphemanil,diphemanil
http://purl.obolibrary.org/obo/DRON_00010637,Diphtheria Antitoxin,diphtheria antitoxin
http://purl.obolibrary.org/obo/DRON_00019202,"diphtheria toxoid vaccine, inactivated","diphtheria toxoid vaccine, inactivated"
http://purl.obolibrary.org/obo/DRON_00014837,DIPOTASSIUM ADIPATE,dipotassium adipate
http://purl.obolibrary.org/obo/DRON_00017126,dipropizine,dipropizine
http://purl.obolibrary.org/obo/DRON_00017127,"dipropizine, (S)-isomer","dipropizine, (s)-isomer"
http://purl.obolibrary.org/obo/DRON_00016074,dipropylacetamide,dipropylacetamide
http://purl.obolibrary.org/obo/DRON_00013719,Diptheria protein,diptheria protein
http://purl.obolibrary.org/obo/DRON_00017641,Dipyrone,dipyrone
http://purl.obolibrary.org/obo/DRON_00750828,dirlotapide,dirlotapide
http://purl.obolibrary.org/obo/DRON_00867632,Diroximel fumarate,diroximel fumarate
http://purl.obolibrary.org/obo/DRON_00018656,DISODIUM PYROPHOSPHATE,disodium pyrophosphate
http://purl.obolibrary.org/obo/DRON_00016714,DOBESILIC ACID,dobesilic acid
http://purl.obolibrary.org/obo/DRON_00750758,doconexent,doconexent
http://purl.obolibrary.org/obo/DRON_00020213,Docosaenoic Acid,docosaenoic acid
http://purl.obolibrary.org/obo/DRON_00019029,docosanol,docosanol
http://purl.obolibrary.org/obo/DRON_00018241,Docusate,docusate
http://purl.obolibrary.org/obo/DRON_00020209,dodecylbenzenesulfonic acid,dodecylbenzenesulfonic acid
http://purl.obolibrary.org/obo/DRON_00019790,dog flea allergenic extract,dog flea allergenic extract
http://purl.obolibrary.org/obo/DRON_00020197,dog hair extract,dog hair extract
http://purl.obolibrary.org/obo/DRON_00019872,dog skin extract,dog skin extract
http://purl.obolibrary.org/obo/DRON_00019475,dogfennel pollen extract,dogfennel pollen extract
http://purl.obolibrary.org/obo/DRON_00014829,dolomite,dolomite
http://purl.obolibrary.org/obo/DRON_00019869,domestic cow hair extract,domestic cow hair extract
http://purl.obolibrary.org/obo/DRON_00019868,domestic cow skin extract,domestic cow skin extract
http://purl.obolibrary.org/obo/DRON_00019595,domestic goat hair extract,domestic goat hair extract
http://purl.obolibrary.org/obo/DRON_00019309,domestic goat skin extract,domestic goat skin extract
http://purl.obolibrary.org/obo/DRON_00829149,DORAVIRINE,doravirine
http://purl.obolibrary.org/obo/DRON_00018567,Dornase Alfa,dornase alfa
http://purl.obolibrary.org/obo/DRON_00020066,Douglas fir pollen extract,douglas fir pollen extract
http://purl.obolibrary.org/obo/DRON_00018093,doxorubicin liposome,doxorubicin liposome
http://purl.obolibrary.org/obo/DRON_00014066,dromostanolone,dromostanolone
http://purl.obolibrary.org/obo/DRON_00014838,drotaverin,drotaverin
http://purl.obolibrary.org/obo/DRON_00018589,drotrecogin alfa,drotrecogin alfa
http://purl.obolibrary.org/obo/DRON_00019805,duck allergenic extract,duck allergenic extract
http://purl.obolibrary.org/obo/DRON_00019578,duck feather extract,duck feather extract
http://purl.obolibrary.org/obo/DRON_00013867,Durapatite,durapatite
http://purl.obolibrary.org/obo/DRON_00831738,Duvelisib,duvelisib
http://purl.obolibrary.org/obo/DRON_00020064,eastern cottonwood pollen extract,eastern cottonwood pollen extract
http://purl.obolibrary.org/obo/DRON_00837866,Eastern oyster allergenic extract,eastern oyster allergenic extract
http://purl.obolibrary.org/obo/DRON_00019385,eastern sycamore pollen extract,eastern sycamore pollen extract
http://purl.obolibrary.org/obo/DRON_00019383,eastern white pine pollen extract,eastern white pine pollen extract
http://purl.obolibrary.org/obo/DRON_00020243,eastern yellowjacket venom protein,eastern yellowjacket venom protein
http://purl.obolibrary.org/obo/DRON_00019509,ecallantide,ecallantide
http://purl.obolibrary.org/obo/DRON_00012946,ECHINACEA ANGUSTIFOLIA Extract,echinacea angustifolia extract
http://purl.obolibrary.org/obo/DRON_00017992,Echinacea angustifolia root extract,echinacea angustifolia root extract
http://purl.obolibrary.org/obo/DRON_00019852,Echinacea pallida root extract,echinacea pallida root extract
http://purl.obolibrary.org/obo/DRON_00016786,Echinacea Preparation,echinacea preparation
http://purl.obolibrary.org/obo/DRON_00018761,Echinacea Purpurea Aerial Parts Extract,echinacea purpurea aerial parts extract
http://purl.obolibrary.org/obo/DRON_00019760,Echinacea purpurea extract,echinacea purpurea extract
http://purl.obolibrary.org/obo/DRON_00017993,ECHINACEA PURPUREA ROOT,echinacea purpurea root
http://purl.obolibrary.org/obo/DRON_00018908,Echinacea Root Extract,echinacea root extract
http://purl.obolibrary.org/obo/DRON_00018367,"ECHINACEA, AERIAL PARTS","echinacea, aerial parts"
http://purl.obolibrary.org/obo/DRON_00018939,eculizumab,eculizumab
http://purl.obolibrary.org/obo/DRON_00750774,Edetate Calcium,edetate calcium
http://purl.obolibrary.org/obo/DRON_00015857,Edrecolomab,edrecolomab
http://purl.obolibrary.org/obo/DRON_00019032,EDTMP,edtmp
http://purl.obolibrary.org/obo/DRON_00018678,efalizumab,efalizumab
http://purl.obolibrary.org/obo/DRON_00019767,egg (chicken) allergenic extract,egg (chicken) allergenic extract
http://purl.obolibrary.org/obo/DRON_00019567,egg white (chicken) allergenic extract,egg white (chicken) allergenic extract
http://purl.obolibrary.org/obo/DRON_00019568,egg yolk (chicken) allergenic extract,egg yolk (chicken) allergenic extract
http://purl.obolibrary.org/obo/DRON_00018601,EGG YOLK PHOSPHATIDES,egg yolk phosphatides
http://purl.obolibrary.org/obo/DRON_00019115,EGG YOLK PHOSPHOLIPIDS,egg yolk phospholipids
http://purl.obolibrary.org/obo/DRON_00019768,eggplant allergenic extract,eggplant allergenic extract
http://purl.obolibrary.org/obo/DRON_00825219,elagolix,elagolix
http://purl.obolibrary.org/obo/DRON_00831741,ELAPEGADEMASE,elapegademase
http://purl.obolibrary.org/obo/DRON_00018715,Elder extract,elder extract
http://purl.obolibrary.org/obo/DRON_00018394,ELDERBERRY FRUIT,elderberry fruit
http://purl.obolibrary.org/obo/DRON_00018370,Elderberry preparation,elderberry preparation
http://purl.obolibrary.org/obo/DRON_00865534,elexacaftor,elexacaftor
http://purl.obolibrary.org/obo/DRON_00730829,ELOSULFASE ALFA,elosulfase alfa
http://purl.obolibrary.org/obo/DRON_00750863,elotuzumab,elotuzumab
http://purl.obolibrary.org/obo/DRON_00841119,emapalumab,emapalumab
http://purl.obolibrary.org/obo/DRON_00827255,Emericella nidulans allergenic extract,emericella nidulans allergenic extract
http://purl.obolibrary.org/obo/DRON_00807839,emicizumab,emicizumab
http://purl.obolibrary.org/obo/DRON_00831728,encorafenib,encorafenib
http://purl.obolibrary.org/obo/DRON_00017221,Endopeptidases,endopeptidases
http://purl.obolibrary.org/obo/DRON_00020135,English plantain pollen extract,english plantain pollen extract
http://purl.obolibrary.org/obo/DRON_00019840,English sole allergenic extract,english sole allergenic extract
http://purl.obolibrary.org/obo/DRON_00019531,English walnut allergenic extract,english walnut allergenic extract
http://purl.obolibrary.org/obo/DRON_00019357,English walnut pollen extract,english walnut pollen extract
http://purl.obolibrary.org/obo/DRON_00018769,entecavir,entecavir
http://purl.obolibrary.org/obo/DRON_00016227,Enterococcus faecalis,enterococcus faecalis
http://purl.obolibrary.org/obo/DRON_00862673,entrectinib,entrectinib
